Phone,State,Area Code,Int'l Plan,VMail Plan,Account Length,VMail Message,Day Mins,Eve Mins,Night Mins,Intl Mins,CustServ Est Mins,CustServ Actual Mins,CustServ Calls,Day Calls,Day Charge,Eve Calls,Eve Charge,Night Calls,Night Charge,Intl Calls,Intl Charge,Total Charge,Churn
397-9148,MS,415,0,1,118,26,170.8,199.5,169.7,9.6,,,5,114,29.04,125,16.96,98,7.64,5,2.59,56.23,1
415-4857,VT,408,0,1,193,17,124,202.9,205.1,12.3,,14,1,102,21.08,81,17.25,129,9.23,3,3.32,50.88,0
354-7314,NE,415,0,0,73,0,198.3,279.3,146.2,14.8,34,36,3,94,33.71,101,23.74,87,6.58,8,4,68.03,0
346-5611,VA,408,0,0,62,0,172.8,204.8,240.8,9.1,38,40,2,101,29.38,97,17.41,90,10.84,8,2.46,60.09,0
349-4703,DE,415,0,1,30,30,217.4,213.8,227.2,6.6,,,0,74,36.96,86,18.17,104,10.22,3,1.78,67.13,0
411-7778,AL,408,1,1,60,29,265.9,215.8,108.1,14,18,26,0,113,45.2,94,18.34,82,4.86,12,3.78,72.18,1
421-1469,ID,510,0,1,148,14,93.6,193.8,144.9,17.5,24,,1,137,15.91,72,16.47,84,6.52,5,4.73,43.63,0
420-5990,MS,510,0,0,96,0,98.2,307.2,182.5,7.6,47,31,2,100,16.69,88,26.11,120,8.21,1,2.05,53.06,0
389-4780,OK,408,0,0,52,0,214.7,158.6,123.4,9.4,35,33,2,68,36.5,138,13.48,114,5.55,4,2.54,58.07,0
357-2735,NM,415,0,0,87,0,168.2,224.7,169.5,12.9,,16,1,92,28.59,100,19.1,99,7.63,3,3.48,58.8,0
409-4791,WI,408,0,0,41,0,202.9,153.8,113.5,9,,52,3,97,34.49,104,13.07,92,5.11,3,2.43,55.1,0
380-5286,WV,415,0,0,112,0,261.4,154.5,130.9,11.6,10,,1,108,44.44,102,13.13,90,5.89,2,3.13,66.59,0
394-8402,SC,510,0,0,88,0,73.3,161.4,239.6,8.2,41,,4,86,12.46,82,13.72,76,10.78,3,2.21,39.17,1
392-1616,KY,408,0,1,122,27,253.7,229.2,190.5,9.2,95,82,,84,43.13,109,19.48,123,8.57,5,2.48,73.66,0
364-1969,MO,408,0,0,61,0,45,151.3,152.9,9.8,36,56,2,108,7.65,74,12.86,94,6.88,6,2.65,30.04,0
390-4152,IL,510,0,0,87,0,231.3,171.7,67.7,13,28,,1,105,39.32,108,14.59,136,3.05,6,3.51,60.47,0
367-7039,OK,408,0,0,176,0,47.4,167.8,163.1,10.5,37,40,2,125,8.06,90,14.26,107,7.34,8,2.84,32.5,0
391-6607,MI,510,0,0,30,0,227.4,182.5,191.7,12.5,17,8,0,88,38.66,100,15.51,134,8.63,3,3.38,66.18,0
379-6652,NJ,415,0,1,95,22,40.9,133.4,264.2,11.9,27,11,0,126,6.95,90,11.34,91,11.89,7,3.21,33.39,0
384-1833,ID,415,0,0,46,0,124.8,157.3,199.3,8.6,24,28,2,133,21.22,143,13.37,72,8.97,4,2.32,45.88,0
403-2455,DC,510,1,0,100,0,68.5,337.1,205.2,12.1,23,23,0,110,11.65,115,28.65,99,9.23,9,3.27,52.8,0
391-1348,NY,415,0,1,47,37,163.5,203.1,232,7.8,21,,2,77,27.8,102,17.26,87,10.44,4,2.11,57.61,0
408-4174,AL,415,0,0,77,0,163,219.1,233.4,6.7,42,30,2,112,27.71,89,18.62,66,10.5,3,1.81,58.64,0
366-4334,OR,415,0,1,98,38,213.7,253,207.7,10.7,,39,2,61,36.33,104,21.51,73,9.35,5,2.89,70.08,0
406-5059,OK,415,0,1,125,36,201.3,42.2,125.7,5.4,11,20,,117,34.22,78,3.59,104,5.66,3,1.46,44.93,0
373-6784,LA,510,0,0,67,0,310.4,66.5,246.5,9.2,43,60,,97,52.77,123,5.65,99,11.09,10,2.48,71.99,0
408-3532,NE,408,0,0,194,0,48.4,281.1,218.5,18.2,,41,1,101,8.23,138,23.89,87,9.83,1,4.91,46.86,0
350-8680,TX,415,0,1,128,40,171.2,145.7,196.8,14,36,0,1,88,29.1,109,12.38,93,8.86,6,3.78,54.12,0
398-9870,UT,415,0,1,190,22,166.5,183,121,8.5,25,18,0,93,28.31,92,15.56,102,5.44,3,2.3,51.61,0
343-3356,OR,415,0,0,165,0,216.6,190.8,224.7,12.4,10,6,0,126,36.82,104,16.22,123,10.11,8,3.35,66.5,0
415-4609,NY,408,0,0,59,0,107.8,216.6,217.5,9.9,,44,2,113,18.33,125,18.41,92,9.79,3,2.67,49.2,0
404-5387,AL,408,0,1,47,28,141.3,168,113.5,7.8,19,6,1,94,24.02,108,14.28,84,5.11,2,2.11,45.52,0
415-8151,RI,415,0,1,150,29,209.9,158,141.9,6.6,21,,0,77,35.68,52,13.43,113,6.39,1,1.78,57.28,0
416-2778,MN,415,1,1,152,20,237.5,253.4,265.2,14.2,118,108,9,120,40.38,94,21.54,80,11.93,3,3.83,77.68,1
393-3300,NC,415,0,0,26,0,234.5,216.5,191.6,3.5,58,40,3,109,39.87,129,18.4,94,8.62,6,0.95,67.84,0
391-7661,MD,510,0,1,79,31,103.1,243,76.4,12.2,33,,3,90,17.53,135,20.66,92,3.44,8,3.29,44.92,0
339-4317,RI,510,0,1,95,27,129.5,248.9,268,11.9,31,26,1,106,22.02,90,21.16,115,12.06,3,3.21,58.45,0
418-6455,WI,510,1,0,69,0,279.8,248.7,171,8.4,,30,2,90,47.57,91,21.14,118,7.69,10,2.27,78.67,1
378-3508,VT,510,1,1,95,41,136.8,200.8,133.7,10.3,76,68,5,91,23.26,61,17.07,67,6.02,9,2.78,49.13,1
390-9359,CT,415,0,1,31,31,100.1,246.3,255,5.9,,,,54,17.02,97,20.94,131,11.48,3,1.59,51.03,0
364-2495,OK,408,0,1,121,31,237.1,205.6,196.7,10.1,,59,4,63,40.31,117,17.48,85,8.85,5,2.73,69.37,0
364-7719,AK,415,0,0,111,0,172.8,183.1,158.8,7.9,46,47,4,58,29.38,108,15.56,104,7.15,3,2.13,54.22,1
421-1189,NY,415,0,0,157,0,224.5,200.7,116.6,11.5,46,31,2,111,38.17,99,17.06,118,5.25,2,3.11,63.59,0
419-8987,GA,510,0,0,44,0,288.1,258,192.4,10.2,32,,,112,48.98,92,21.93,90,8.66,4,2.75,82.32,1
402-9980,UT,510,1,0,61,0,78.2,195.9,108,10.1,48,41,,103,13.29,149,16.65,100,4.86,6,2.73,37.53,0
376-5908,NM,415,0,0,65,0,148.7,259,149.5,12.7,27,,,80,25.28,94,22.02,107,6.73,6,3.43,57.46,0
400-3150,NE,415,0,1,74,25,194.6,119.9,175.5,13.1,21,10,2,84,33.08,103,10.19,75,7.9,2,3.54,54.71,0
336-1749,NJ,408,0,0,123,0,159.5,303.8,226.9,12,26,24,,77,27.12,92,25.82,120,10.21,4,3.24,66.39,0
420-1259,TX,408,0,1,58,20,194.5,213.7,236.6,9.5,31,18,,110,33.07,89,18.16,92,10.65,2,2.57,64.45,0
339-7541,MT,408,0,0,74,0,174.1,251.1,257.6,8.3,,28,2,96,29.6,94,21.34,123,11.59,5,2.24,64.77,1
378-9029,CO,415,0,0,125,0,131.8,136.7,308.2,7.7,20,41,2,97,22.41,100,11.62,119,13.87,6,2.08,49.98,0
342-7514,VT,415,0,0,80,0,160.6,237,245.1,10.7,,8,1,103,27.3,109,20.15,88,11.03,1,2.89,61.37,0
422-4956,RI,408,0,1,53,18,146.8,310,178.7,7.2,17,12,0,107,24.96,84,26.35,130,8.04,7,1.94,61.29,0
389-8606,WY,408,0,1,99,28,200.7,264.2,172.7,9.1,25,26,1,88,34.12,116,22.46,102,7.77,5,2.46,66.81,0
406-7261,ID,415,0,0,99,0,145.6,98.3,230.8,10.9,,,1,106,24.75,106,8.36,83,10.39,5,2.94,46.44,0
417-7973,CT,415,0,1,66,29,229.4,257.4,231.5,8,50,,2,104,39,84,21.88,119,10.42,1,2.16,73.46,0
390-2891,ME,510,0,0,97,0,211,189,123,4.7,32,,3,76,35.87,100,16.07,102,5.54,4,1.27,58.75,0
385-7387,AZ,510,0,1,75,37,121.5,271.4,248.7,11.3,40,39,2,97,20.66,110,23.07,97,11.19,5,3.05,57.97,0
362-2776,MD,510,1,0,85,0,216,188.2,147.1,3.6,21,52,2,73,36.72,117,16,98,6.62,7,0.97,60.31,0
329-1955,IN,510,0,0,108,0,293,160.6,143.9,10,38,20,2,88,49.81,101,13.65,87,6.48,6,2.7,72.64,0
344-3160,NC,408,1,1,133,32,221.1,264.9,168.9,15.4,21,43,2,137,37.59,99,22.52,108,7.6,4,4.16,71.87,1
406-2454,DE,510,0,0,51,0,181.5,196.9,187.2,10.3,32,40,1,108,30.86,87,16.74,119,8.42,2,2.78,58.8,0
335-3913,MN,415,0,1,186,26,74.3,177.3,296.3,14.5,38,,2,107,12.63,116,15.07,90,13.33,3,3.92,44.95,0
355-7705,WI,415,1,0,44,0,62.3,275,138.7,10.8,16,,,92,10.59,82,23.38,108,6.24,3,2.92,43.13,0
410-7108,FL,408,0,1,64,31,228.6,248.5,167.1,9,38,59,3,88,38.86,109,21.12,124,7.52,1,2.43,69.93,0
419-1674,WV,510,0,0,44,0,228.1,276.5,279.8,9.9,30,,2,121,38.78,79,23.5,77,12.59,5,2.67,77.54,1
351-7369,SD,415,0,1,114,36,309.9,200.3,183.5,14.2,21,37,1,90,52.68,89,17.03,105,8.26,2,3.83,81.8,0
349-9566,FL,415,0,0,92,0,201.9,226.8,217.5,13.7,,36,3,74,34.32,119,19.28,80,9.79,6,3.7,67.09,0
333-3421,OR,408,0,0,110,0,149.8,180,140,11.7,36,,2,112,25.47,93,15.3,119,6.3,4,3.16,50.23,0
393-8199,CO,408,0,1,90,30,183.8,229.7,144.1,7.7,25,20,1,76,31.25,95,19.52,124,6.48,3,2.08,59.33,0
388-4879,CT,408,0,1,72,21,186.7,335,187.2,16.5,,,1,108,31.74,86,28.48,119,8.42,4,4.46,73.1,0
353-6007,IN,415,0,0,113,0,209.4,347.3,246,7.4,38,27,,151,35.6,113,29.52,116,11.07,2,2,78.19,1
416-1557,PA,415,0,1,171,25,223.2,183.2,150.8,10.2,58,,,77,37.94,118,15.57,90,6.79,3,2.75,63.05,0
356-7217,NM,415,0,0,104,0,164.2,155.4,168.9,10.7,36,35,1,109,27.91,90,13.21,117,7.6,8,2.89,51.61,0
350-2012,ME,408,0,0,165,0,150.5,193.1,311.6,10.3,27,43,1,75,25.59,93,16.41,93,14.02,2,2.78,58.8,0
420-9838,SD,510,0,0,104,0,234.2,293.1,183.9,9.8,30,11,0,128,39.81,92,24.91,79,8.28,6,2.65,75.65,1
373-6379,AR,408,0,0,110,0,55.3,164.7,200.7,10.2,25,,1,102,9.4,124,14,108,9.03,5,2.75,35.18,0
355-7293,TX,408,1,0,90,0,221.8,203.8,215.8,8.4,15,,1,97,37.71,134,17.32,154,9.71,4,2.27,67.01,0
406-4588,NH,415,0,0,114,0,169.6,58.9,179.3,7.4,38,27,1,85,28.83,86,5.01,124,8.07,8,2,43.91,0
345-1524,OK,408,0,0,101,0,89.7,260.1,170.1,13.5,,,,118,15.25,79,22.11,93,7.65,11,3.65,48.66,1
375-8493,WI,408,0,1,117,14,80.2,219,122.6,8.6,,,1,81,13.63,103,18.62,102,5.52,2,2.32,40.09,0
361-2924,AL,408,0,0,109,0,218.9,299.9,158.6,11.3,47,,2,105,37.21,87,25.49,110,7.14,4,3.05,72.89,0
359-6163,PA,408,0,0,82,0,125.7,207.6,183.1,12.9,,25,1,96,21.37,137,17.65,103,8.24,2,3.48,50.74,0
411-8140,OK,510,0,0,92,0,176.3,93.4,207.2,9.6,30,34,2,85,29.97,125,7.94,107,9.32,1,2.59,49.82,0
381-9049,ME,510,0,1,82,29,207.2,254.1,169.3,9.5,,32,2,111,35.22,137,21.6,92,7.62,5,2.57,67.01,0
344-4478,WV,415,0,0,90,0,205.7,161.9,269.7,12.5,38,53,2,138,34.97,83,13.76,104,12.14,6,3.38,64.25,0
360-2690,HI,408,0,1,87,28,151.4,152.4,250.1,0,40,32,1,95,25.74,97,12.95,109,11.25,0,0,49.94,0
410-7383,MN,510,0,0,124,0,157.5,130.7,193.4,9.6,54,52,3,70,26.78,79,11.11,98,8.7,4,2.59,49.18,0
356-1889,NY,408,0,0,39,0,160.4,102.6,235.3,9.1,20,,2,68,27.27,103,8.72,106,10.59,5,2.46,49.04,0
341-2360,AZ,415,0,0,84,0,159,167.9,167.6,12.3,19,,1,80,27.03,128,14.27,101,7.54,5,3.32,52.16,0
370-3021,OH,510,0,1,75,46,214.1,200.9,246.8,9.2,23,12,0,62,36.4,111,17.08,126,11.11,6,2.48,67.07,0
336-4656,MI,510,0,0,102,0,102.6,246,170.5,9.1,,38,2,89,17.44,77,20.91,140,7.67,4,2.46,48.48,0
386-2810,MA,415,1,0,62,0,159.7,197.5,121.6,13.9,,30,0,86,27.15,76,16.79,105,5.47,6,3.75,53.16,1
350-1354,WV,510,0,0,143,0,202.8,165.8,143.9,4.6,39,10,,109,34.48,104,14.09,71,6.48,4,1.24,56.29,0
346-5707,MI,415,0,0,53,0,57.5,265.5,244.3,11.6,59,49,3,95,9.78,131,22.57,128,10.99,6,3.13,46.47,0
405-8370,NM,415,0,0,30,0,169.9,225.2,169.7,11.4,40,17,1,144,28.88,118,19.14,93,7.64,7,3.08,58.74,0
373-2053,MO,415,0,0,112,0,335.5,212.5,265,12.7,45,43,,77,57.04,109,18.06,132,11.93,8,3.43,90.46,1
369-5222,RI,415,0,0,129,0,139.5,289.3,129.4,13.1,29,9,0,119,23.72,105,24.59,97,5.82,8,3.54,57.67,0
347-7420,NC,415,0,1,63,29,142.3,118.7,240.1,6.6,13,27,,107,24.19,56,10.09,91,10.8,8,1.78,46.86,0
392-6856,WY,415,0,0,28,0,187.8,248.6,208.8,10.6,28,3,0,94,31.93,86,21.13,124,9.4,5,2.86,65.32,0
371-5556,WY,415,0,0,111,0,146.2,261.5,163.2,8.7,,35,3,55,24.85,83,22.23,116,7.34,3,2.35,56.77,0
334-5337,PA,510,0,0,91,0,231.8,150.6,269.2,11.6,60,,3,120,39.41,106,12.8,129,12.11,7,3.13,67.45,0
334-8817,KY,415,0,0,90,0,193.7,154.2,299,12.7,27,20,,83,32.93,79,13.11,60,13.46,3,3.43,62.93,0
339-1405,OR,510,0,0,151,0,156.4,233.4,195.7,7.7,46,52,4,108,26.59,118,19.84,141,8.81,6,2.08,57.32,0
380-7742,NV,415,1,1,105,29,220.7,217.7,190.5,13.2,10,21,1,82,37.52,110,18.5,100,8.57,6,3.56,68.15,1
329-6191,DC,408,0,1,41,37,239.8,221.9,189.1,7.3,22,22,,110,40.77,115,18.86,100,8.51,1,1.97,70.11,0
340-3075,UT,510,0,1,48,43,172,200.2,233.1,8,29,31,1,111,29.24,64,17.02,96,10.49,5,2.16,58.91,0
416-5849,WA,408,1,1,166,35,128.2,274.5,298.9,8.8,40,35,2,138,21.79,113,23.33,130,13.45,7,2.38,60.95,0
334-7443,FL,510,0,0,79,0,130.2,290.9,194.8,14,53,63,,119,22.13,121,24.73,140,8.77,6,3.78,59.41,0
394-9121,VA,510,0,0,153,0,195.4,154.6,142.8,11.6,,33,1,107,33.22,96,13.14,97,6.43,6,3.13,55.92,0
383-1657,KS,415,1,0,110,0,293.3,188.5,266.9,14.5,,,0,79,49.86,90,16.02,91,12.01,4,3.92,81.81,1
347-4112,KS,415,0,0,163,0,191.3,193.9,268.4,12.8,34,,1,89,32.52,87,16.48,121,12.08,4,3.46,64.54,0
362-8280,DC,510,0,0,126,0,122.4,143.8,157,11.5,35,,1,88,20.81,111,12.22,106,7.07,3,3.11,43.21,0
402-9982,ME,408,0,1,105,33,209.6,146.9,121,10.6,38,,2,68,35.63,140,12.49,131,5.44,3,2.86,56.42,0
392-8905,LA,415,0,0,172,0,215.7,146.3,264.6,7.1,58,38,3,140,36.67,84,12.44,83,11.91,1,1.92,62.94,0
392-5512,DC,415,0,0,126,0,161.4,220.6,249.2,5.1,,4,0,110,27.44,125,18.75,78,11.21,2,1.38,58.78,0
351-6384,TX,510,0,0,97,0,144.2,226.7,144.6,13.8,52,60,3,91,24.51,137,19.27,72,6.51,4,3.73,54.02,0
348-8015,NJ,408,1,1,95,37,220.2,185.3,205.1,4.1,28,17,0,109,37.43,99,15.75,82,9.23,2,1.11,63.52,1
374-6966,DE,510,0,0,87,0,256.2,160.7,249.4,7.4,55,,4,105,43.55,102,13.66,80,11.22,2,2,70.43,0
328-2236,VT,415,0,0,97,0,112.7,217.7,152.1,6.5,34,36,1,119,19.16,109,18.5,76,6.84,5,1.76,46.26,0
372-6497,GA,415,0,0,76,0,299.5,226.7,210.7,13.7,19,8,0,125,50.92,92,19.27,134,9.48,4,3.7,83.37,1
417-8617,TX,408,0,0,140,0,194.8,170.9,225.1,13.9,11,22,0,107,33.12,99,14.53,93,10.13,4,3.75,61.53,0
361-9621,MT,415,0,0,169,0,100.8,230,193.6,9.5,,,0,112,17.14,69,19.55,95,8.71,2,2.57,47.97,0
421-2723,ND,408,0,1,68,22,82.5,289.9,180,4.8,49,35,3,97,14.03,94,24.64,114,8.1,4,1.3,48.07,0
327-9341,NJ,415,0,1,122,34,146.4,89.7,220,15.6,,43,2,104,24.89,103,7.62,91,9.9,4,4.21,46.62,0
383-5474,MO,408,0,0,36,0,177.9,224.6,306.3,10.8,45,,2,129,30.24,87,19.09,102,13.78,6,2.92,66.03,0
328-8147,CO,510,0,1,120,27,153.5,194,256.5,10.2,80,65,5,84,26.1,73,16.49,94,11.54,7,2.75,56.88,0
373-5438,KS,408,0,0,121,0,150.7,197.3,169,9.2,19,,1,105,25.62,133,16.77,116,7.61,15,2.48,52.48,0
333-9253,NC,408,0,1,64,19,180.1,127.5,237.4,7.5,0,18,0,106,30.62,92,10.84,118,10.68,3,2.03,54.17,0
347-9421,MT,415,0,1,13,31,265.3,147.6,259.3,12.9,17,,1,94,45.1,95,12.55,117,11.67,1,3.48,72.8,0
419-3167,DE,415,0,0,106,0,128.6,134,210.6,11.4,26,,0,83,21.86,114,11.39,113,9.48,2,3.08,45.81,0
414-4162,ND,415,0,0,88,0,161.5,173.5,206.2,7.9,39,,2,92,27.46,108,14.75,95,9.28,4,2.13,53.62,0
416-5341,VA,408,0,0,74,0,165.3,198.5,208.5,9.8,19,25,1,120,28.1,106,16.87,102,9.38,3,2.65,57,0
368-8600,IL,415,0,0,83,0,195,210.5,180.6,11,15,13,0,92,33.15,83,17.89,92,8.13,13,2.97,62.14,0
336-6085,OK,415,0,0,49,0,213.8,265.1,239.8,15.6,10,,0,79,36.35,93,22.53,128,10.79,7,4.21,73.88,0
377-1479,CO,510,0,1,111,24,205.5,219.3,215.9,14,17,8,1,114,34.94,99,18.64,95,9.72,4,3.78,67.08,0
360-2107,MT,415,0,1,50,22,252.9,177.9,158.4,8.5,48,52,3,112,42.99,99,15.12,146,7.13,4,2.3,67.54,0
405-9384,WV,408,0,1,153,28,235.6,227.9,170.3,15.4,7,,,74,40.05,37,19.37,103,7.66,9,4.16,71.24,0
420-5179,ME,415,0,0,88,0,192,127.6,155.6,7.5,,26,1,91,32.64,127,10.85,125,7,5,2.03,52.52,0
331-3174,WI,415,0,1,131,39,69.1,101.3,104.8,9.1,,23,0,122,11.75,136,8.61,94,4.72,4,2.46,27.54,0
411-5958,MO,408,0,0,79,0,261.7,210.6,256.7,6,37,28,3,97,44.49,48,17.9,83,11.55,3,1.62,75.56,1
333-8180,NY,415,0,0,140,0,235.5,257.2,103.1,11.5,46,42,2,81,40.04,130,21.86,111,4.64,4,3.11,69.65,0
357-2679,CT,408,0,0,105,0,213.4,204.9,179.7,9.5,19,26,1,100,36.28,52,17.42,93,8.09,6,2.57,64.36,0
396-2867,AR,415,0,1,54,39,206.9,127.8,199.2,9.2,41,48,3,143,35.17,72,10.86,120,8.96,1,2.48,57.47,0
341-9443,WY,415,0,1,87,22,263.8,103.4,208.1,8.5,36,58,,65,44.85,115,8.79,109,9.36,3,2.3,65.3,0
341-4103,CA,510,0,1,96,31,183.4,195.5,180.1,10.5,37,,1,126,31.18,106,16.62,93,8.1,5,2.84,58.74,0
416-8701,CA,510,0,0,79,0,157.6,194.1,231.5,9.4,59,0,5,85,26.79,92,16.5,86,10.42,10,2.54,56.25,1
397-6109,MN,415,0,0,55,0,175.6,161.8,289.5,9.3,4,1,0,147,29.85,118,13.75,55,13.03,4,2.51,59.14,0
392-5587,AK,415,0,0,130,0,242.5,102.8,142.4,9.3,50,24,2,101,41.23,114,8.74,89,6.41,2,2.51,58.89,0
392-9342,VA,415,0,0,34,0,151,131.4,186.6,9.9,12,14,0,102,25.67,101,11.17,86,8.4,7,2.67,47.91,0
368-2845,CO,415,0,0,139,0,138.1,164.5,134.9,8.3,18,42,1,103,23.48,100,13.98,63,6.07,2,2.24,45.77,0
405-4920,MT,408,0,0,109,0,264.7,305,197.4,9.5,37,29,1,69,45,120,25.93,86,8.88,9,2.57,82.38,1
348-7484,SD,408,0,1,65,31,282.3,152,225.5,12,,,1,70,47.99,89,12.92,93,10.15,4,3.24,74.3,0
338-5207,NE,415,0,0,63,0,211.2,237.7,259.2,12.3,1,0,0,80,35.9,93,20.2,58,11.66,2,3.32,71.08,0
418-7846,VT,415,0,0,152,0,197.1,130.1,78.1,7.4,43,44,3,126,33.51,76,11.06,100,3.51,4,2,50.08,0
358-8729,ND,408,0,0,147,0,205.3,166.7,240.6,7.8,28,20,1,95,34.9,128,14.17,84,10.83,4,2.11,62.01,0
349-1943,GA,415,0,1,112,22,181.8,228.1,262.7,9.2,41,57,2,110,30.91,123,19.39,141,11.82,4,2.48,64.6,0
368-8283,OR,415,0,0,120,0,252,150.2,151.8,9.6,38,54,2,120,42.84,106,12.77,96,6.83,1,2.59,65.03,0
345-1419,MT,510,0,0,27,0,193.8,118.9,135.9,9.2,4,3,0,102,32.95,104,10.11,124,6.12,3,2.48,51.66,0
358-8025,WY,415,0,0,171,0,231.2,188.7,206.9,12.3,21,33,1,135,39.3,74,16.04,124,9.31,1,3.32,67.97,0
383-8695,GA,415,0,1,101,33,200.1,188.9,205.1,15.5,4,3,0,108,34.02,122,16.06,90,9.23,4,4.19,63.5,0
370-7565,WV,408,0,1,32,26,266.7,232.3,212.8,16.3,,36,1,109,45.34,107,19.75,98,9.58,4,4.4,79.07,0
401-6162,CT,415,0,1,3,36,118.1,221.5,103.9,11.9,20,,2,117,20.08,125,18.83,89,4.68,6,3.21,46.8,0
386-5303,IL,408,0,0,151,0,175.3,144.3,160.2,11.8,9,28,0,106,29.8,87,12.27,88,7.21,5,3.19,52.47,0
351-6552,CO,408,0,0,60,0,125.1,248.8,211.3,11.2,60,,3,99,21.27,62,21.15,79,9.51,3,3.02,54.95,0
345-5338,DE,415,0,0,119,0,176.8,224.7,204.6,7.5,26,24,1,90,30.06,81,19.1,77,9.21,15,2.03,60.4,0
330-2849,LA,415,0,0,43,0,241.9,129.4,264.8,5.9,17,35,1,101,41.12,121,11,104,11.92,3,1.59,65.63,0
364-6801,MA,408,0,0,42,0,241.2,116.5,152.2,10.6,19,28,0,134,41,114,9.9,91,6.85,4,2.86,60.61,0
375-3003,IN,408,0,0,84,0,217.1,236,118.3,9.4,15,26,1,99,36.91,68,20.06,120,5.32,4,2.54,64.83,0
383-8878,NY,510,0,0,65,0,195.4,181.2,178.5,8.9,,11,0,110,33.22,109,15.4,105,8.03,4,2.4,59.05,0
384-2372,TX,415,1,0,75,0,222.4,327,208,8.7,,19,1,78,37.81,111,27.8,104,9.36,9,2.35,77.32,1
377-7107,KS,510,0,0,116,0,189.5,189.8,205.8,13.1,17,39,,90,32.22,118,16.13,83,9.26,2,3.54,61.15,0
361-1581,WV,415,0,0,107,0,123.1,158.4,256.1,9.3,10,,0,100,20.93,82,13.46,82,11.52,5,2.51,48.42,0
417-7888,NE,415,0,1,189,38,256.7,150.5,123,11.4,32,59,3,98,43.64,120,12.79,87,5.54,3,3.08,65.05,0
383-8364,ND,408,0,0,123,0,159.1,241.6,202.4,6.5,,26,1,94,27.05,119,20.54,120,9.11,1,1.76,58.46,0
396-2335,AK,408,0,0,110,0,100.1,233.3,204.4,11.1,,52,3,90,17.02,93,19.83,57,9.2,8,3,49.05,0
408-4530,CO,415,0,1,63,32,30.9,187,230.8,8.6,,19,1,113,5.25,113,15.9,101,10.39,7,2.32,33.86,0
408-6621,ME,415,0,0,176,0,223.2,214.4,154.4,10.1,39,53,3,76,37.94,131,18.22,80,6.95,2,2.73,65.84,0
393-7522,SC,510,0,0,108,0,187.4,199.9,216.1,12.6,35,20,1,101,31.86,126,16.99,107,9.72,8,3.4,61.97,0
338-7120,MN,510,0,1,13,21,315.6,208.9,260.1,12.1,,,3,105,53.65,71,17.76,123,11.7,3,3.27,86.38,0
357-4265,CO,415,0,0,71,0,277.5,131.8,126.9,8.2,28,34,,104,47.18,121,11.2,101,5.71,2,2.21,66.3,0
398-8801,KS,415,0,0,88,0,189.8,197.3,234.5,14.9,45,32,2,111,32.27,101,16.77,111,10.55,3,4.02,63.61,0
346-2347,MS,510,0,0,137,0,147.2,192.8,172.7,10.2,,,1,119,25.02,91,16.39,105,7.77,4,2.75,51.93,0
343-2741,NE,408,0,0,82,0,185.8,276.5,192.1,5.7,50,74,4,36,31.59,134,23.5,104,8.64,7,1.54,65.27,0
420-8242,NJ,510,0,1,92,29,155.4,188.5,254.9,8,41,0,3,110,26.42,104,16.02,118,11.47,4,2.16,56.07,0
402-7746,WI,510,0,0,165,0,154.2,268.6,188.8,10.9,67,57,6,91,26.21,108,22.83,99,8.5,4,2.94,60.48,0
332-1494,MT,415,0,0,96,0,97.6,105.5,220.2,11.6,12,28,1,98,16.59,118,8.97,105,9.91,9,3.13,38.6,0
388-6223,AR,415,0,0,156,0,178.8,178.4,169.2,7.5,15,18,,94,30.4,97,15.16,77,7.61,3,2.03,55.2,0
404-9539,WA,408,0,0,63,0,149.3,273.6,206.6,9.1,,,0,104,25.38,75,23.26,72,9.3,4,2.46,60.4,0
341-7332,NH,415,0,0,37,0,206,186,307.1,8.4,2,8,0,89,35.02,88,15.81,86,13.82,11,2.27,66.92,0
338-7886,IA,415,0,0,98,0,216.8,190.8,187.5,11,17,,0,86,36.86,114,16.22,79,8.44,9,2.97,64.49,0
332-5596,WV,415,0,0,121,0,103.3,129.1,167.1,10.7,4,0,0,110,17.56,82,10.97,113,7.52,3,2.89,38.94,0
348-9945,RI,415,0,0,94,0,139.4,159.1,128.2,7.7,3,24,0,95,23.7,92,13.52,129,5.77,3,2.08,45.07,0
407-1896,KS,415,0,0,99,0,191.2,163.9,243.6,14.1,29,25,1,110,32.5,102,13.93,114,10.96,3,3.81,61.2,0
398-9408,MT,510,0,1,163,23,160,189.4,229.9,10.4,,14,1,104,27.2,64,16.1,118,10.35,7,2.81,56.46,0
369-8005,MO,510,0,0,161,0,221.7,193,194.1,6.5,55,38,3,95,37.69,82,16.41,113,8.73,4,1.76,64.59,0
346-2530,HI,415,0,0,99,0,62.9,231,168.9,8.5,31,42,1,81,10.69,64,19.64,121,7.6,5,2.3,40.23,0
400-5984,CO,415,0,0,108,0,215.6,195.3,194.4,3.6,35,29,1,78,36.65,119,16.6,65,8.75,5,0.97,62.97,0
351-1007,CT,510,0,1,84,42,165.3,223.5,260.8,7.6,56,34,3,97,28.1,118,19,72,11.74,7,2.05,60.89,0
345-5980,ID,415,1,1,83,32,94.7,154.4,200.4,10.6,20,38,2,111,16.1,98,13.12,109,9.02,6,2.86,41.1,0
368-8964,DC,510,0,0,139,0,203.2,152.5,197.8,9.7,38,34,2,81,34.54,99,12.96,76,8.9,3,2.62,59.02,0
